category,paper,year,id,url,proposed_status,why_relevant,next_action
S1 AR/streaming backbone,MAGI-1,2025,2505.13211,https://arxiv.org/abs/2505.13211,Resolved background,Autoregressive chunk-based video generation with constant peak inference cost and long context; motivates memory-efficient long-horizon generation,Add to S1 background and cite in Background section
S1 AR/streaming backbone,StreamingT2V,2024,2403.14773,https://arxiv.org/abs/2403.14773,Resolved related,Explicit short-term memory block and long-term appearance preservation module; early video-generation memory system,Move from metadata-only to S1/S5 bridge
S1 AR/streaming backbone,SkyReels-V2,2025,2504.13074,https://arxiv.org/abs/2504.13074,Resolved technical report/system,Infinite-length film generative model using MLLM captioning progressive training RL and diffusion forcing,Use as system background not memory mainline
S1 AR/streaming backbone,Pyramid Flow,2024,2410.05954,https://arxiv.org/abs/2410.05954,Resolved background,Temporal pyramid/flow-based video generation background,Use only in background
S2 attention/KV memory,Sparse VideoGen,2025,2502.01776,https://arxiv.org/abs/2502.01776,Resolved related,Shows video DiT heads have spatial/temporal sparsity; supports head-role memory argument,Add to attention-memory background
S2 attention/KV memory,Sparse Forcing,2026,2604.21221,https://arxiv.org/abs/2604.21221,New candidate mainline,Explicitly frames persistent salient visual blocks in KV cache as implicit spatiotemporal memory,Add to S2 mainline candidates
S2 attention/KV memory,SVOO,2026,2603.18636,https://arxiv.org/abs/2603.18636,New candidate related,Sparse video generation profiling and efficiency background,Verify and decide whether to include
S3 positional memory,RIFLEx,2025,2502.15894,https://arxiv.org/abs/2502.15894,Resolved mainline background,Training-free length extrapolation by manipulating intrinsic RoPE frequency; supports positional memory coordinate argument,Add to S3
S3 positional memory,LoL Longer than Longer,2026,2601.16914,https://arxiv.org/abs/2601.16914,Resolved mainline,Sink-collapse from RoPE periodicity and multi-head attention conflict; supports memory-position-head coupling,Add to S3/S2 bridge
S5 identity/entity memory,AnyID,2026,2603.25188,https://arxiv.org/abs/2603.25188,New candidate related,Universal identity-preserving video generation from heterogeneous identity references,Add to identity-memory precursor group
S5 identity/entity memory,Slot-ID,2026,2601.01352,https://arxiv.org/abs/2601.01352,New candidate related,Slot-based temporal identity encoding from reference videos; identity dynamics as memory,Add to identity/entity bridge
S7 world/embodied memory,OpenAI Sora technical report,2024,tech-report,https://openai.com/index/video-generation-models-as-world-simulators/,Technical report background,Spacetime latent patches and emergent long-range coherence/object permanence; defines world simulator narrative,Cite in Introduction and Background
S7 world/embodied memory,V-JEPA 2,2025,2506.09985,https://arxiv.org/abs/2506.09985,World-model background,Latent predictive model for understanding prediction and planning; contrasts generative and JEPA-style video world models,Add as boundary/background
S7 world/embodied memory,UniDriveDreamer,2026,2602.02002,https://arxiv.org/abs/2602.02002,New candidate related,Multimodal driving world model with unified latent anchoring for video and LiDAR,Add to embodied/driving memory background
S8 evaluation,WorldScore,2025,2504.00983,https://arxiv.org/abs/2504.00983,Resolved benchmark,World generation benchmark assessing controllability quality dynamics,Add to evaluation section
S8 evaluation,MBench,2026,2606.00793,https://arxiv.org/abs/2606.00793,New candidate mainline benchmark,Memory capability benchmark for video world models with entity environment causal consistency,Add as central benchmark
S8 evaluation,iWorld-Bench,2026,2605.03941,https://arxiv.org/abs/2605.03941,New candidate benchmark,Interactive world-model benchmark including trajectory following and memory,Add to evaluation section
