cat,paper,year,id,memory_object,substrate,tf,priority,role,url,status,reading_status,note_path
S0 Existing surveys / 相邻综述,A Mechanistic View on Video Generation as World Models: State and Dynamics,2026,arXiv:2601.17067,state construction / dynamics,implicit context / explicit latent compression,N/A,High background,和本文的 world-state memory 论点高度相关，可引用其 state/dynamics taxonomy。,https://arxiv.org/abs/2601.17067,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2601_17067_a_mechanistic_view_on_video_generation_as_world_models_state_and_dynam.md
S0 Existing surveys / 相邻综述,A Survey on Long Video Generation,2024,arXiv:2403.16407,long-horizon temporal coherence,divide-and-conquer / temporal autoregression,N/A,Background,说明已有 long-video survey 的边界：它讲长视频范式，不以 memory system 为中心。,https://arxiv.org/abs/2403.16407,Verified by web / 需复核最新版本,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2403_16407_a_survey_on_long_video_generation.md
S0 Existing surveys / 相邻综述,A Survey on Long-Video Storytelling Generation,2025,arXiv:2507.07202 / ICCVW 2025,story / character / scene consistency,long storytelling architectures,N/A,High background,与 narrative/entity memory 最接近，但它不是 memory lifecycle 综述。,https://arxiv.org/abs/2507.07202,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2507_07202_a_survey_on_long_video_storytelling_generation.md
S0 Existing surveys / 相邻综述,ASurvey: Spatiotemporal Consistency in Video Generation,2025/2026,arXiv:2502.17863 / ACM TOG?,spatiotemporal consistency,representation / generation / post-processing / metrics,N/A,High background,说明 consistency survey 与 memory-centric survey 的差异：consistency 是现象层，memory 是机制层。,https://arxiv.org/abs/2502.17863,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2502_17863_asurvey_spatiotemporal_consistency_in_video_generation.md
S0 Existing surveys / 相邻综述,Controllable Video Generation: A Survey,2025,arXiv:2507.16869,control signals and reference consistency,control taxonomy,N/A,Background,用于 reference/image/pose/depth/camera control 背景。,https://arxiv.org/abs/2507.16869,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2507_16869_controllable_video_generation_a_survey.md
S0 Existing surveys / 相邻综述,Survey of Video Diffusion Models,2025,arXiv:2504.16081,video diffusion evolution and applications,architecture / optimization / applications,N/A,Background,作为最新 video diffusion survey 背景。,https://arxiv.org/abs/2504.16081,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2504_16081_survey_of_video_diffusion_models.md
S0 Existing surveys / 相邻综述,Video Diffusion Models: A Survey,2024,arXiv:2405.03150,video diffusion foundations,diffusion architecture taxonomy,N/A,Background,作为视频扩散模型基础综述引用。,https://arxiv.org/abs/2405.03150,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2405_03150_video_diffusion_models_a_survey.md
S0 Existing surveys / 相邻综述,"Video Generation Models as World Models: Efficient Paradigms, Architectures and Algorithms",2026,arXiv:2603.28489,efficient world modeling,efficient paradigms / architectures / inference,N/A,High background,说明 world-model survey 主要从效率切入，不以 memory object/substrate 为主。,https://arxiv.org/abs/2603.28489,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2603_28489_video_generation_models_as_world_models_efficient_paradigms_architectu.md
S0 Existing surveys / 相邻综述,Video Generation Models in Robotics,2026,arXiv:2601.07823,embodied world models in robotics,video models for policy / planning / simulation,N/A,Background,用于 embodied/robotics world model 应用背景。,https://arxiv.org/abs/2601.07823,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2601_07823_video_generation_models_in_robotics.md
S0 Existing surveys / 相邻综述,World Model for Robot Learning: A Comprehensive Survey,2026,arXiv:2605.00080,robot world model,policy-coupled world model taxonomy,N/A,Background,可在 world model background 中一笔带过。,https://arxiv.org/html/2605.00080v1,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s0_2605_00080_world_model_for_robot_learning_a_comprehensive_survey.md
S1 AR / streaming video generation backbones,Causal-Forcing,2026,arXiv:2602.02214,block-causal AR video,framewise/chunkwise causal generation,Trained,Core backbone,与 Self/Rolling Forcing 并列的 AR backbone。,https://arxiv.org/abs/2602.02214,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2602_02214_causal_forcing.md
S1 AR / streaming video generation backbones,CausVid,2024/2025,arXiv:2412.07772,causal long video rollout,block-causal + KV cache,Trained,Core background,因果视频蒸馏和 KV cache baseline。,https://arxiv.org/abs/2412.07772,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2412_07772_causvid.md
S1 AR / streaming video generation backbones,Diffusion Forcing,2024,arXiv:2407.01392,long sequential generation,per-token independent noise / forcing family,Trained,Core background,Forcing 家族源头。,https://arxiv.org/abs/2407.01392,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2407_01392_diffusion_forcing.md
S1 AR / streaming video generation backbones,FramePack,2025,arXiv:2504.12626,fixed-length historical context,frame/context packing,Inference-time/system,Core background,说明 context compression 是 memory substrate 之一。,https://arxiv.org/abs/2504.12626,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2504_12626_framepack.md
S1 AR / streaming video generation backbones,Infinity-RoPE,2025/2026,arXiv:2511.20649,infinite action-controllable rollout,Block-Relativistic RoPE / KV Flush / RoPE Cut,Inference/system,Core related,同时属于 positional memory；适合作为 long action rollout 的位置策略。,https://arxiv.org/abs/2511.20649,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2511_20649_infinity_rope.md
S1 AR / streaming video generation backbones,LongLive,2025,arXiv:2509.22622,long-horizon frame-level AR memory,causal attention / KV recache / frame sink,LoRA-trained / system,Core backbone,长视频 AR memory 重要平台；适合做 taxonomy 背景。,https://arxiv.org/abs/2509.22622,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2509_22622_longlive.md
S1 AR / streaming video generation backbones,LongLive-2.0,2026,arXiv:2605.18739,efficient long video generation,NVFP4/system optimization + long video inference,Trained/system,Related,用于效率和系统侧背景。,https://arxiv.org/abs/2605.18739,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2605_18739_longlive_2_0.md
S1 AR / streaming video generation backbones,MAGI-1,2025,arXiv?,autoregressive video generation,chunk/segment AR,Trained,Related,长视频 AR 代表，可背景引用。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s1_noid_magi_1.md
S1 AR / streaming video generation backbones,Pyramid Flow,2024/2025,arXiv?,pyramid flow video generation,multi-scale flow matching,Trained,Background,视频生成基础模型背景。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s1_noid_pyramid_flow.md
S1 AR / streaming video generation backbones,Rolling Forcing,2025,arXiv:2509.25161,rolling historical context,rolling-window joint denoising + frame-0 attention sink,Trained,Core backbone,主流 streaming AR backbone；attention sink 是全局锚点记忆。,https://arxiv.org/abs/2509.25161,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2509_25161_rolling_forcing.md
S1 AR / streaming video generation backbones,SANA-Video,2025,arXiv:2509.24695,efficient long video generation,linear attention / constant-memory KV cache,Trained/system,Related,用于 efficiency/memory budget 讨论。,https://arxiv.org/abs/2509.24695,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2509_24695_sana_video.md
S1 AR / streaming video generation backbones,Self Forcing,2025,arXiv:2506.08009,self-generated rollout memory,KV-cache enabled autoregressive training,Trained,Core backbone,后续 training-free memory 方法的重要 backbone。,https://arxiv.org/abs/2506.08009,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2506_08009_self_forcing.md
S1 AR / streaming video generation backbones,SkyReels-V2,2025,arXiv?,long video / streaming generation,sliding-window causal generation,Trained,Related,开放视频生成 backbone 背景。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s1_noid_skyreels_v2.md
S1 AR / streaming video generation backbones,StreamDiT,2025,arXiv:2507.03745,real-time streaming generation,DiT streaming architecture,Trained/system,Related,LongLive-RAG references 中的 AR rollout 背景。,https://arxiv.org/abs/2507.03745,Mentioned by web search; To verify details,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2507_03745_streamdit.md
S1 AR / streaming video generation backbones,StreamingT2V,2025,arXiv?,streaming text-to-video memory,short/long memory for streaming,Trained / system,Related,作为 streaming video generation 背景。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s1_noid_streamingt2v.md
S1 AR / streaming video generation backbones,Video generation models as world simulators / Sora technical report page,2024,OpenAI blog,emergent physical/world simulation,large-scale video generation model,N/A,Background,用于引出“video generation -> world simulators”的叙事。,https://openai.com/index/video-generation-models-as-world-simulators/,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_noid_video_generation_models_as_world_simulators_sora_technical_report_page.md
S1 AR / streaming video generation backbones,Wan: Open and Advanced Large-Scale Video Generative Models,2025,arXiv:2503.20314,base T2V/I2V backbone,large-scale video generative model,Trained,Core background,很多 2026 memory 方法基于 Wan2.1/2.2，需要作为 backbone 背景引用。,https://arxiv.org/abs/2503.20314,Mentioned by web; To verify details,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s1_2503_20314_wan_open_and_advanced_large_scale_video_generative_models.md
S2 KV cache / attention memory,Attention Sink / StreamingLLM,2023/2024,"StreamingLLM, ICLR 2024",persistent sink tokens,initial sink + sliding window,Yes,Background,视频 attention sink 的通用基础；不属于视频论文但必须解释来源。,https://arxiv.org/abs/2309.17453,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2309_17453_attention_sink_streamingllm.md
S2 KV cache / attention memory,DecMem: Decoupled Global and Local Memory for Minute-long Video Generation,2026,arXiv:2605.31336,global-local memory,Sparse Global Memory + Anchored Local Memory,Likely yes / system,High,全局/局部 memory 解耦代表。,https://arxiv.org/abs/2605.31336,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2605_31336_decmem_decoupled_global_and_local_memory_for_minute_long_video_generat.md
S2 KV cache / attention memory,Deep Forcing: Training-Free Long Video Generation with Deep Sink and Participative Compression,2025,arXiv:2512.05081,global context + active recent tokens,deep sink + participative compression,Yes,Must-read,说明 attention sink 不是越强越好；过强会 motion stagnation。,https://arxiv.org/abs/2512.05081,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s2_2512_05081_deep_forcing_training_free_long_video_generation_with_deep_sink_and_pa.md
S2 KV cache / attention memory,Echo-Forcing: A Scene Memory Framework for Interactive Long Video Generation,2026,arXiv:2605.16003,scene memory / historical scene recall,hierarchical temporal KV memory,Yes,Must-read,场景记忆核心论文：stable anchor、compressed history、recent window、scene recall、difference-aware decay。,https://arxiv.org/abs/2605.16003,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s2_2605_16003_echo_forcing_a_scene_memory_framework_for_interactive_long_video_gener.md
S2 KV cache / attention memory,Future Forcing: Future-aware Training-free KV Cache Policy for Autoregressive Video Generation,2026,arXiv:2605.30083,future-useful historical tokens,future query proxy + cache policy,Yes,High,从 past-aware cache 走向 future-aware cache。,https://arxiv.org/abs/2605.30083,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2605_30083_future_forcing_future_aware_training_free_kv_cache_policy_for_autoregr.md
S2 KV cache / attention memory,H2O / SnapKV / Quest / PyramidKV / SirLLM,2023-2025,LLM KV cache literature,generic KV cache selection/compression,heavy hitter / query-aware / layer budget / entropy retention,Yes,Background,作为 KV cache policy 的通用来源，不要喧宾夺主。,,From prior docs / To verify individually,metadata-only,notes/paper_notes/web_read_all_v0.4/s2_noid_h2o_snapkv_quest_pyramidkv_sirllm.md
S2 KV cache / attention memory,KV Cache Quantization for Self-Forcing Video Generation: A 33-Method Empirical Study,2026,arXiv:2603.27469,system memory / KV budget,KV-cache quantization and compression policies,Empirical/system,High,补充系统维度：量化/压缩不只是省显存，也会影响 drift、fidelity 与实际部署。,https://arxiv.org/abs/2603.27469,"Verified by web, added in v0.2",web-read,notes/paper_notes/web_read_all_v0.4/s2_2603_27469_kv_cache_quantization_for_self_forcing_video_generation_a_33_method_em.md
S2 KV cache / attention memory,LongLive-RAG: A General Retrieval-Augmented Framework for Long Video Generation,2026,arXiv:2606.02553,retrieval over long video context,retrieval-augmented historical context,System / may be training-light,High,把 RAG 思路引入 LongLive/long video memory。,https://arxiv.org/abs/2606.02553,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s2_2606_02553_longlive_rag_a_general_retrieval_augmented_framework_for_long_video_ge.md
S2 KV cache / attention memory,LVSA: Training-Free Sparse Attention for Long Video Diffusion,2026,arXiv:2605.31057,global anchor / anti-loop memory,block-sparse attention + rotating global anchors,Yes,High,旋转全局锚点与 VQeval；提醒普通 consistency metric 可能奖励 loop/frozen video。,https://arxiv.org/abs/2605.31057,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2605_31057_lvsa_training_free_sparse_attention_for_long_video_diffusion.md
S2 KV cache / attention memory,MAG: Memorize-and-Generate for Long Video Generation,2025,arXiv:2512.18741,history scene consistency,memory compression model + generation model,Trained/system,High,将 memory compression 和 generation 解耦，适合 retrieval memory 章节。,https://arxiv.org/html/2512.18741v1,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2512_18741_mag_memorize_and_generate_for_long_video_generation.md
S2 KV cache / attention memory,MemRoPE: Training-Free Infinite Video Generation via Evolving Memory Tokens,2026,arXiv:2603.12513,identity + recent dynamics compressed memory,dual EMA memory tokens + unrotated KV + online RoPE,Yes,Must-read,把 memory compression 和 RoPE phase 解耦联系起来，技术主线非常关键。,https://arxiv.org/abs/2603.12513,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s2_2603_12513_memrope_training_free_infinite_video_generation_via_evolving_memory_to.md
S2 KV cache / attention memory,OmniMem: A General Retrieval-Augmented Framework for Long Video Generation / full-range KV retrieval,2026,arXiv:2605.30519,long-range sparse KV memory,sparse scattered KV retrieval,Likely yes / system,High,用于 full-range sparse memory retrieval 分类。,https://arxiv.org/abs/2605.30519,Verified by web title/abstract search,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2605_30519_omnimem_a_general_retrieval_augmented_framework_for_long_video_generat.md
S2 KV cache / attention memory,Pack and Force Your Memory / MemoryPack,2025,arXiv:2510.01784,short/long dependencies,learnable context retrieval / packed memory,Trained/system,Related,context packing 与 retrieval memory 背景。,https://arxiv.org/html/2510.01784v1,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2510_01784_pack_and_force_your_memory_memorypack.md
S2 KV cache / attention memory,Pyramid Forcing: Head-Aware Pyramid KV Cache Policy for High-Quality Long Video Generation,2026,arXiv:2605.13111,head-specific temporal memory,Anchor/Wave/Veil per-head KV cache,Yes,Must-read,head-aware memory 的核心论文；可以引出 identity/motion/layout head specialization。,https://arxiv.org/abs/2605.13111,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s2_2605_13111_pyramid_forcing_head_aware_pyramid_kv_cache_policy_for_high_quality_lo.md
S2 KV cache / attention memory,Sparse VideoGen (SVG),2025,ICLR 2025?,spatial/temporal attention head roles,online head classification / sparse video attention,Yes,Related,Pyramid Forcing / HRMR 类 head-aware 方法的前置背景。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s2_noid_sparse_videogen_svg.md
S2 KV cache / attention memory,SWIFT: Semantic Injection Cache and Adaptive Dynamic Window,2026,arXiv:2605.09442,multi-prompt semantic continuity,semantic injection cache + dynamic window,Likely yes / inference,Related,适合 multi-prompt memory 分类。,https://arxiv.org/html/2605.09442v1,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s2_2605_09442_swift_semantic_injection_cache_and_adaptive_dynamic_window.md
S3 Positional / RoPE memory,"FLEX / Train Short, Inference Long",2026,arXiv:2602.14027,temporal horizon extension,frequency-aware RoPE modulation + antiphase noise + sink,Yes,High,把 3D RoPE spectral bias 和动态先验不足联系起来。,https://arxiv.org/abs/2602.14027,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s3_2602_14027_flex_train_short_inference_long.md
S3 Positional / RoPE memory,FreeLOC,2026,arXiv:2603.25209 / CVPR 2026?,relative position remapping,VRPR + temporal sparse attention,Yes,Related,作为非因果/位置 remap 背景，注意与因果 AR 差异。,https://arxiv.org/abs/2603.25209,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s3_2603_25209_freeloc.md
S3 Positional / RoPE memory,Infinity-RoPE,2025/2026,arXiv:2511.20649,infinite rollout coordinates,Block-Relativistic RoPE / KV Flush / RoPE Cut,Inference,High,action-controllable infinite video 的位置策略。,https://arxiv.org/abs/2511.20649,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s3_2511_20649_infinity_rope.md
S3 Positional / RoPE memory,MemRoPE,2026,arXiv:2603.12513,position-free historical keys,unrotated key cache + online RoPE indexing,Yes,Must-read,位置相位冲突的最重要代表。,https://arxiv.org/abs/2603.12513,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s3_2603_12513_memrope.md
S3 Positional / RoPE memory,Pyramid Forcing,2026,arXiv:2605.13111,long-horizon temporal coordinates,dynamic RoPE remap + head-aware cache,Yes,Must-read,将位置 remap 和 head-aware cache 结合。,https://arxiv.org/abs/2605.13111,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s3_2605_13111_pyramid_forcing.md
S3 Positional / RoPE memory,RIFLEx / UltraViCo / LoL: Longer-than-Longer,2025/2026,various,RoPE extrapolation / long-context video,frequency/phase adjustment,Yes,Related,作为位置外推和 sink/phase 相关参考。,,From prior docs / To verify individually,metadata-only,notes/paper_notes/web_read_all_v0.4/s3_noid_riflex_ultravico_lol_longer_than_longer.md
S4 Frequency / spectrum memory,ConsisID: Identity-Preserving Text-to-Video Generation by Frequency Decomposition,2024/2025,arXiv:2411.17440,face identity details,low/high-frequency identity injection,Tuning-free / model-specific,High,把身份保持和频率分解联系起来。,https://arxiv.org/abs/2411.17440,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s4_2411_17440_consisid_identity_preserving_text_to_video_generation_by_frequency_dec.md
S4 Frequency / spectrum memory,FLEX,2026,arXiv:2602.14027,dynamic prior and temporal frequency,frequency-aware RoPE + antiphase noise,Yes,High,连接 positional memory 和 spectral memory。,https://arxiv.org/abs/2602.14027,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s4_2602_14027_flex.md
S4 Frequency / spectrum memory,FreeLong / FreeLong++: Training-Free Long Video Generation via Multi-band SpectralFusion,2025,arXiv:2507.00162,long-range semantics + high-frequency details,multi-band spectral fusion / 3D FFT / SpecMix,Yes,High,频域长视频方法主代表。,https://arxiv.org/abs/2507.00162,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s4_2507_00162_freelong_freelong_training_free_long_video_generation_via_multi_band_s.md
S4 Frequency / spectrum memory,FreeSpec: Training-Free Long Video Generation via Singular-Spectrum Reconstruction,2026,arXiv:2605.06509,dynamic/high-frequency preservation,singular-spectrum reconstruction,Yes,High,解释大窗口 attention 的低秩谱集中和动态抹平。,https://arxiv.org/abs/2605.06509,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s4_2605_06509_freespec_training_free_long_video_generation_via_singular_spectrum_rec.md
S4 Frequency / spectrum memory,Frequency Regulation for Video Generation,2025,ACM MM 2025?,spectral degeneration / motion detail,frequency-domain noise/feature regulation,Likely yes/inference,Related,作为频域修正背景。,,From prior docs / To verify,metadata-only,notes/paper_notes/web_read_all_v0.4/s4_noid_frequency_regulation_for_video_generation.md
S5 Identity / entity / narrative memory,Closed-Loop Triplet Synergistic Generation for Long-Form Video / CoTriSyGen,2026,arXiv:2606.16184,entity/narrative memory,closed-loop visual-text-memory synergy + mutable visual state,Agentic pipeline,High,补充 narrative memory：把生成结果反馈到 memory/prompt，体现 memory update 生命周期。,https://arxiv.org/abs/2606.16184,"Verified by web, added in v0.2",web-read,notes/paper_notes/web_read_all_v0.4/s5_2606_16184_closed_loop_triplet_synergistic_generation_for_long_form_video_cotrisy.md
S5 Identity / entity / narrative memory,ConsisID,2024/2025,arXiv:2411.17440,human identity,frequency-decomposed reference identity features,Tuning-free / model-specific,High,reference ID + frequency memory 双重相关。,https://arxiv.org/abs/2411.17440,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2411_17440_consisid.md
S5 Identity / entity / narrative memory,Corgi: Cached Memory Guided Video Generation,2025,WACV 2025,multi-scene core memories,cached latent memory bank / key frames,Trained/system,High,早期 cached memory-guided video generation 代表。,https://openaccess.thecvf.com/content/WACV2025/papers/Wu_Corgi_Cached_Memory_Guided_Video_Generation_WACV_2025_paper.pdf,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_noid_corgi_cached_memory_guided_video_generation.md
S5 Identity / entity / narrative memory,EM-Vid: Training-Free Entity-Centric Memory for Efficient and Consistent Multi-Shot Video Generation,2026,arXiv:2605.23610,recurring entity appearance,entity-indexed sparse latent patch bank,Yes,Must-read,entity-centric latent patch memory 的核心代表。,https://arxiv.org/abs/2605.23610,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s5_2605_23610_em_vid_training_free_entity_centric_memory_for_efficient_and_consisten.md
S5 Identity / entity / narrative memory,Gloria: Consistent Character Video Generation via Content Anchors,2026,arXiv:2603.29931,character identity across long videos,character-centric/content anchor frames,Likely trained/system,High,anchor-based character memory 代表。,https://arxiv.org/abs/2603.29931,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2603_29931_gloria_consistent_character_video_generation_via_content_anchors.md
S5 Identity / entity / narrative memory,IAMFlow: Advancing Narrative Long Video Generation via Training-Free Identity-Aware Memory,2026,arXiv:2605.18733,entity identity and attributes,LLM global ID table + VLM attribute verification,Yes,Must-read,显式实体/身份记忆核心论文。,https://arxiv.org/abs/2605.18733,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s5_2605_18733_iamflow_advancing_narrative_long_video_generation_via_training_free_id.md
S5 Identity / entity / narrative memory,LaVieID / ConsistI2V / Concat-ID / Identity-GRPO / FantasyID,2024-2026,various,reference ID preservation,ID adapter / local ID routing / RLHF / reference features,mixed,Related baseline,ID 保持 related work，需逐篇复核后决定是否纳入主表。,,From prior docs / To verify individually,metadata-only,notes/paper_notes/web_read_all_v0.4/s5_noid_lavieid_consisti2v_concat_id_identity_grpo_fantasyid.md
S5 Identity / entity / narrative memory,Lynx,2025,arXiv:2509.15496,Wan2.1 reference identity,ArcFace ID adapter + reference adapter + discriminator,Trained adapter,Related baseline,如果综述涉及 ID baseline，可作为 Wan2.1 ID 保持训练式代表。,https://arxiv.org/abs/2509.15496,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2509_15496_lynx.md
S5 Identity / entity / narrative memory,Memento: Reconstruct to Remember for Consistent Long Video Generation,2026,arXiv:2606.14667,recurring subject identity,subject-reconstruction-guided memory bank + dual-query memory,Trained/system,Must-read,把“记住主体”显式转化为可从 memory 重建主体的监督目标。,https://arxiv.org/abs/2606.14667,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s5_2606_14667_memento_reconstruct_to_remember_for_consistent_long_video_generation.md
S5 Identity / entity / narrative memory,Memory-V2V: Augmenting Video-to-Video Diffusion Models with Memory,2026,arXiv:2601.16296,multi-turn editing consistency,external cache + retrieval + dynamic tokenization + compressor,System / possible trained compressor,High,V2V 多轮编辑 memory 代表。,https://arxiv.org/abs/2601.16296,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2601_16296_memory_v2v_augmenting_video_to_video_diffusion_models_with_memory.md
