paper,grade,primary_technical_route,lifecycle_focus,primary_section,secondary_tags,include_reason,verification_status
Echo-Forcing,A,Implicit Token Memory in Attention and KV Caches,retain/retrieve/forget,Section 5,"scene memory; hierarchical KV; recall frames",Core scene memory framework with hierarchical temporal memory scene recall and difference-aware decay,verified-v0.4
MemRoPE,A,Implicit Token Memory in Attention and KV Caches,compress/retain/coordinate,Section 5,"memory tokens; online RoPE; positional memory",Core evolving-memory-token method; cross-referenced in temporal coordinate section,verified-v0.4
Deep Forcing,A,Implicit Token Memory in Attention and KV Caches,compress/route,Section 5,"deep sink; participative compression",Core sink/compression method for long video memory,verified-v0.4
Pyramid-Forcing,A,Implicit Token Memory in Attention and KV Caches,route/compress,Section 5,"head-aware KV cache; anchor/wave/veil heads",Core head-aware memory routing method,verified-v0.4
Sparse Forcing,A,Implicit Token Memory in Attention and KV Caches,retain/update,Section 5,"persistent visual blocks; sparse KV",Explicit implicit spatiotemporal KV memory candidate,new-v0.5
Future Forcing,A,Implicit Token Memory in Attention and KV Caches,retain,Section 5,"future-aware cache; KV selection",Core future-aware retention policy,metadata-web-ready
OmniMem,A,Retrieval-Augmented Recall in Video Generation,retrieve,Section 8,"sparse KV retrieval; historical context",Core retrieval-augmented video memory method,verified-v0.4
LongLive-RAG,A,Retrieval-Augmented Recall in Video Generation,retrieve/inject,Section 8,"latent retrieval; RAG for long video",Core RAG-style video memory method,verified-v0.4
KV Cache Quantization for Self-Forcing,A,Implicit Token Memory in Attention and KV Caches,compress,Section 5,"KV quantization; cache budget; systems memory",Important systems-memory study; explains memory budget and compression trade-offs,verified-v0.4
IAMFlow,A,From Identity Anchors to Entity-Narrative Memory,write/retrieve/inject/update,Section 7,"entity IDs; identity-aware memory; VLM verification",Core explicit identity/entity memory framework,verified-v0.4
SlotMemory,A,From Identity Anchors to Entity-Narrative Memory,write/store/retrieve,Section 7,"object-centric KV slots; entity memory",Core object-centric memory method,verified-v0.4
EM-Vid,A,From Identity Anchors to Entity-Narrative Memory,store/compress/retrieve,Section 7,"entity-indexed latent patch bank",Core entity-centric latent memory method,verified-v0.4
Memento,A,From Identity Anchors to Entity-Narrative Memory,update/evaluate,Section 7,"subject reconstruction; remember-by-reconstruction",Core subject-memory update/evaluation method,verified-v0.4
CoTriSyGen,A,From Identity Anchors to Entity-Narrative Memory,inject/update,Section 7,"closed-loop visual-text-memory synergy",Core closed-loop narrative memory method,verified-v0.4
WorldMem,A,From Visual Continuity to World-State Persistence,write/store/retrieve,Section 9,"memory frames; pose/time metadata; world simulation",Core world-state memory method,verified-v0.4
SpMem / Video World Models with Long-Term Spatial Memory,A,From Visual Continuity to World-State Persistence,write/store,Section 9,"working memory; spatial memory; episodic memory",Core long-term spatial memory method,verified-v0.4
RELIC,A,From Visual Continuity to World-State Persistence,compress/route,Section 9,"long-context latent tokens; camera/action metadata",Core real-time long-context interactive world-model memory,verified-v0.4
LiveWorld,A,From Visual Continuity to World-State Persistence,update,Section 9,"persistent global state; out-of-sight dynamics",Core hidden-state update and out-of-sight memory method,verified-v0.4
ReMind,A,From Visual Continuity to World-State Persistence,update,Section 9,"dynamic memory; hidden state evolution",Core dynamic memory for unseen state evolution,verified-v0.4
Mirage / Latent Spatial Memory,A,From Visual Continuity to World-State Persistence,store/compress,Section 9,"latent 3D cache; spatial memory",Core latent spatial memory method,verified-v0.4
