paper,grade,primary_technical_route,lifecycle_focus,secondary_tags,decision_reason
Echo-Forcing,A,Token/KV/Attention Memory,retain/retrieve/forget,"scene memory; hierarchical KV; recall frames",Explicit scene memory framework with hierarchical temporal memory scene recall and difference-aware decay
MemRoPE,A,Token/KV/Attention Memory,compress/retain,"memory tokens; online RoPE; positional memory",Core method for evolving memory tokens and fixed-size infinite video cache
Deep Forcing,A,Token/KV/Attention Memory,compress/route,"deep sink; participative compression; motion preservation",Core sink/compression mechanism for long video memory
Pyramid-Forcing,A,Token/KV/Attention Memory,route/compress,"head-aware cache; anchor/wave/veil heads; positional memory",Core head-aware KV memory routing method
Sparse Forcing,A,Token/KV/Attention Memory,retain/update,"persistent visual blocks; sparse KV; system memory",Explicitly interprets persistent KV blocks as implicit spatiotemporal memory
Future Forcing,A,Token/KV/Attention Memory,retain,"future-aware cache; KV selection",Core future-aware retention policy
OmniMem,A,Retrieval-Augmented/External Memory,retrieve,"sparse KV retrieval; historical context",Core retrieval-augmented long-video memory method
LongLive-RAG,A,Retrieval-Augmented/External Memory,retrieve/inject,"latent retrieval; RAG for long video",Core RAG-style video memory method
KV Cache Quantization for Self-Forcing,A,System/Efficient Memory,compress,"KV quantization; cache budget; systems memory",Important systems-memory study; explains memory budget and compression trade-offs
IAMFlow,A,Reference/Identity/Entity/Narrative Memory,write/retrieve/inject/update,"entity IDs; identity-aware memory; VLM verification",Core explicit entity identity memory framework
SlotMemory,A,Reference/Identity/Entity/Narrative Memory,write/store/retrieve,"object-centric KV slots; entity memory",Core object-centric memory method
EM-Vid,A,Reference/Identity/Entity/Narrative Memory,store/compress/retrieve,"entity-indexed latent patch bank",Core entity-centric latent memory method
Memento,A,Reference/Identity/Entity/Narrative Memory,update/evaluate,"subject reconstruction; remember-by-reconstruction",Core subject-memory update/evaluation method
CoTriSyGen,A,Reference/Identity/Entity/Narrative Memory,inject/update,"closed-loop visual-text-memory synergy",Core closed-loop narrative memory method
WorldMem,A,Spatial/World-State/Embodied Memory,write/store/retrieve,"memory frames; pose/time metadata; world simulation",Core world-state memory method
SpMem / Video World Models with Long-Term Spatial Memory,A,Spatial/World-State/Embodied Memory,write/store,"working memory; spatial memory; episodic memory",Core long-term spatial memory method
RELIC,A,Spatial/World-State/Embodied Memory,compress/route,"long-context latent tokens; camera/action metadata",Core real-time long-context interactive world model memory
LiveWorld,A,Spatial/World-State/Embodied Memory,update,"persistent global state; out-of-sight dynamics",Core hidden state update and out-of-sight memory method
ReMind,A,Spatial/World-State/Embodied Memory,update,"dynamic memory; hidden state evolution",Core dynamic memory for unseen state evolution
Mirage / Latent Spatial Memory,A,Spatial/World-State/Embodied Memory,store/compress,"latent 3D cache; spatial memory",Core latent spatial memory method
MosaicMem / Hybrid Spatial Memory,A,Spatial/World-State/Embodied Memory,store/route,"hybrid explicit-implicit spatial memory",Core spatial memory variant
MIND,A,Evaluation/Benchmarks,evaluate,"memory consistency; action control; closed-loop",Core memory/action-control benchmark
